CSC,Description,Div,Dept,Class,Size,Retail Price,Item Status,On Spa,Vendor Name,Vendor Code,Division Name,Dept. Name,Class Name
113,360 VODKA HOLIDAY GIFT             750ml,A,AD,ADW,750,13.99,U,No,MCCORMICK DISTILLING COMPANY (000593),593,SPIRITS,VODKA,VODKA - DOMESTIC
131,ARDBEG DARK COVE SCOTCH            750ml,Y,YS,YSA,750,111.18,U,No,MOET HENNESSY USA. (000860),860,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - SPIRITS
133,TEQ ROSE HOLIDAY GIFT              750ml,C,CH,CHE,750,20.21,U,No,MCCORMICK DISTILLING COMPANY (000593),593,LIQUEURS - SCHNAPPS - PREMIXED,LIQUEURS,LIQUEURS - FRUIT
138,FRANGELICO WITH 4 SHOT GLASSES     750ml,Y,YG,YGC,750,17.99,D,No,CAMPARI AMERICA (000875),875,GIFT & SPECIAL ORDER - Y,GIFT & SPECIAL ORDER - YG,GIFT SETS - LIQUEURS
159,JACK DANIELS TENN FIRE W/ 2 SHOT G 750ml,Y,YG,YGA,750,24.99,D,No,BROWN-FORMAN CORPORATION.. (000182),182,GIFT & SPECIAL ORDER - Y,GIFT & SPECIAL ORDER - YG,GIFT SETS - SPIRITS
294,ESPOLON ANEJO GIFT PACK '16       750 ml,Y,YG,YGA,750,35.36,D,No,CAMPARI AMERICA (000875),875,GIFT & SPECIAL ORDER - Y,GIFT & SPECIAL ORDER - YG,GIFT SETS - SPIRITS
296,HELLCAT MAGGIE W/SHOT GLASSES      750ml,Y,YG,YGA,750,20.99,D,No,PHILLIPS DISTILLED PRODUCTS (001254),1254,GIFT & SPECIAL ORDER - Y,GIFT & SPECIAL ORDER - YG,GIFT SETS - SPIRITS
305,STOLI VODKA/ BLOODY MARY MIX HOL 1750 ml,A,AD,ADX,1750,42.99,D,No,STOLI GROUP USA LLC (002108),2108,SPIRITS,VODKA,VODKA - IMPORTED
307,GLENFIDDICH TRIO PK 12/ 15/18      200ml,Y,YG,YGA,200,49.99,D,No,WILLIAM GRANT & SONS INC. (000430),430,GIFT & SPECIAL ORDER - Y,GIFT & SPECIAL ORDER - YG,GIFT SETS - SPIRITS
361,BAILEYS ORIG W/4 SHOT GLASSES      750ml,Y,YS,YSC,750,25.4,S,No,DIAGEO AMERICAS INC (000440),440,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - LIQUEURS
