CSC,UPC
000022,22
000113,8559215385
000122,122
000131,131
000133,8559215355
000138,2105900336
000159,8218420324
000294,294
000296,8711600072
000305,8117512151
000307,8366487345
000336,9674900098
000401,401
000402,5003794456
000428,8068600294
000452,8068601606
000470,8218420203
000472,821843358218
000494,80480006280
000498,8218420198
000513,513
000543,543
000606,
000612,
000632,632
000641,641
000643,8115381259
000666,666
000678,678
000699,8112820143
000804,8218405553
000816,9203204346
000866,8807618603
000891,891
000954,954
000962,962
001047,8807618487
001176,8807617922
001221,8807618513
001334,8529350011
001400,8200078921
001418,4204700002
001435,8410411791
001437,9115600119
001799,8700020115
001876,8515637511
002229,8603620560
002834,8954050372
002891,763878002483
002930,5003708440
002959,8976821104
002982,8308953090
003005,8330023475
003121,5003709449
003123,8308966091
003169,3169
003206,3206
003233,9819300159
003273,3273
003345,3345
003360,8676770467
003384,8036833800
003396,8559212835
003662,4460700580
003777,3777
004001,81153811600
004006,8048022001
004043,8068600412
004044,8068600413
004046,8043251617
004077,4077
004084,8043210214
004090,8175381624
004096,8330007210
004111,8330007204
004113,4113
004122,4122
004152,811538013635
004178,5914100409
004193,4193
004199,5048300051
004200,5048300063
004226,8954035284
004232,4232
004246,8175383290
004248,4248
004251,4251
004285,8954046588
004336,4336
004350,8366487413
004356,8366411221
004357,8366487300
004358,8366487462
004360,4360
004367,8366487168
004372,8366487306
004374,8366487319
004381,8366485841
004395,4395
004407,8366487414
004436,4702019241
004450,4450
004455,4455
004459,8366487486
004469,4469
004475,4475
004476,8175383859
004502,8807618868
004562,8807618174
004592,4592
004611,8764713409
004615,4615
004624,8811095533
004626,8811095532
004629,4629
004636,5048300005
004644,5048300055
004687,4687
004688,4688
004695,8723670124
004698,8723670125
004716,8700065167
004717,8043240043
004718,8700065165
004736,8700000654
004769,8807616348
004773,8807618143
004778,8807617629
004780,8811009005
004785,8807618821
004788,8807616346
004796,8975642004
004801,5060116324976
004811,4811
004825,8764711167
004827,8764711214
004828,8764711168
004829,8764711818
004840,4840
004846,8811010005
004848,8807618822
004866,8811008105
004868,8811008108
004876,8048023102
004936,4936
004971,8366487315
004972,8112800211
004982,8807617145
004983,8807617836
004989,8800403314
004990,880040346
005002,8366487256
005004,8366410747
005006,8366410736
005009,8366499044
005014,8366499040
005034,8700065198
005036,8043240063
005038,8043240072
005040,8700000625
005053,8043210368
005061,8700065390
005067,8175381405
005075,8043210151
005078,5078
005090,5090
005103,8175381086
005104,8175383149
005105,8330007568
005106,8366410139
005133,8175381081
005136,8175381084
005153,8043210975
005157,8366499041
005159,83664873460
005182,5182
005186,6019384194
005201,5201
005215,8112800212
005231,8366487369
005233,8366487370
005242,8807618136
005247,8723640009
005286,8764708142
005287,5287
005288,8811098500
005316,8807617912
005318,8807617770
005319,8807617821
005325,8811001119
005326,8850801030
005329,8811007005
005339,8807616317
005345,8811002119
005346,8850802030
005349,8807618854
005350,8807616262
005404,8068681306
005426,8807618825
005427,8807618871
005430,8811014005
005434,5434
005435,8068681333
005446,8954033805
005449,5449
005481,5481
005486,8723610000
005535,5535
005545,5545
005551,5551
005552,5552
005553,5553
005555,5555
005560,5560
005586,5586
005587,5587
005596,8970800001
005606,8970800003
005613,5613
005615,8807618173
005625,5625
005633,8807618063
005635,8366487254
005642,8200076714
005648,8764711327
005662,5662
005672,5672
005673,5673
005677,8807618254
005690,8807618827
005694,5694
005696,8811016005
005697,8807617898
005700,5700
005701,8807617980
005702,8807617249
005705,5705
005712,5712
005744,5744
005745,8366487398
005747,8807618278
005749,8807618293
005759,5759
005783,5783
005803,5803
005809,8832054107
005821,8807618291
005824,8807618349
005829,60399687270
005842,8043211492
005844,8366487422
005856,5856
005861,8807618308
005862,8807618307
005863,8807618305
005864,8807618303
005865,8807618304
005866,8807618302
005867,8807618309
005868,8807618306
005873,5873
005877,8807618385
005889,5889
005890,8807618411
005891,8807618412
005892,5892
005896,8366487426
005921,8807618463
005924,8043211576
005929,8175383865
005932,812066023066
005934,812066023387
005939,5939
005957,5957
005962,8807618511
005966,8807618516
005968,5968
005973,5973
005983,5983
006016,8807618564
006017,6017
006038,8807618607
006039,8807618626
006041,8807618628
006061,6061
006075,6075
006078,8807618076
006079,8807618075
006081,8807618687
006082,6082
006085,6085
006105,8066077405
006118,6118
006129,8807618786
006137,6137
006145,8807618839
006158,8807618770
006176,8807618771
006189,6189
006196,8807617902
006197,8807618633
006198,8807616471
006203,6203
006205,6205
006206,8811017005
006236,8068680520
006243,8807618893
006272,8807618170
006281,8726923535
006291,6291
006295,6295
006303,6303
006316,8889316100
006317,8427997618
006328,9304975020
006339,6339
006362,6362
006385,8807618877
006388,8955215071
006389,8807618873
006406,6406
006420,8807618874
006424,9203200418
006529,6529
006548,6548
006573,8807618875
006575,6575
006612,850016031389
006997,8633412042
006998,8366412026
007102,7102
008828,8954013814
008940,8940
009278,9278
010008,8807620100
010040,2105900335
010074,811751022698
010530,5644200596
010550,9674900317
010626,8954016843
010627,8954016842
010628,8954016841
010632,8068682406
010638,8068682369
010640,10640
010645,10645
010776,8200079539
010781,8200078269
010784,8200078397
010785,8200078955
010786,8200078238
010790,8200077658
010791,8200077659
010797,8200077480
010802,8200078291
010805,8200077155
010807,8200077156
010809,8200077159
010812,8200000373
010826,8200000382
010828,8200077337
010830,8200078949
010835,8200078526
010836,8200075043
010837,8200075044
010839,8200077306
010840,8200077637
010842,8200079255
010852,8200079752
010856,8200080153
010858,8200080191
010880,9115600113
010889,628451609827
010941,8910581036
011074,11074
011285,8200073433
011287,8200079679
011294,8700000760
011296,8700070138
011297,8700000724
011298,8700070063
011299,8700000727
011326,8800403734
011344,8800409731
011346,88004103617
011347,8800403616
011348,8800403615
011366,8700020133
011416,4841500030
011418,4841500010
011480,4841500001
011522,8068682042
011586,9674900323
011588,9674900325
011774,9674900307
011776,9674900306
011777,9674900305
011788,9674900304
011936,8292822340
011940,8800401931
011941,8800401930
012284,8066040230
012286,8066040235
012287,8066040233
012288,8066040231
012308,8970870025
012316,8970873390
012408,8292839981
012467,8800404826
012476,8800404825
012478,8800404827
012885,8954033296
012887,8800400034
012888,8954019406
013110,8310350312
013542,8800401891
013543,8800401961
013638,8835212934
013647,8835212959
013648,8835212960
014192,8410411601
014194,8410411595
014197,8410411594
014199,8410411592
014208,8410411891
014210,8410411611
014267,8310346824
014268,8722100008
014536,8711600839
014854,5453100001
015172,850001901154
015177,15177
015183,15183
015187,5000190111
015188,5146000230
015196,850001901659
015204,15204
015206,5000190192
015244,8427900575
015248,8427900573
015296,8068650043
015320,5146000236
015492,5003759603
015518,9471263358
015530,818844023747
015534,15534
015586,8085322899
015604,8711600058
015622,8043250012
015626,8043250217
015627,8043250011
015628,8043250018
015639,15639
015644,8043250014
015646,8043240404
015648,8043211219
015656,8700020073
015658,8043210992
015667,8043210726
015686,8068618711
015690,15690
015708,15708
015723,8043211259
015728,15728
015745,3604054376
015766,15766
015770,1651190534
015776,8807616898
015808,15808
015830,3915297022
015832,15832
015848,15848
015850,8112810314
015856,8043258617
015863,8043210832
015864,15864
015870,8112800214
015890,8835213085
015911,8366487399
015913,8366487385
015915,8366487251
015918,15918
015933,1651190528
015934,15934
015937,8955200320
015940,8954038396
015945,8366487249
015961,4904230044987
015962,904320103776
015967,4904230064688
015970,15970
015971,15971
015979,4904230044574
015980,8068693405
015982,8068695701
015983,904230044581
015986,8885700162
015996,8885700161
016002,8885700181
016017,9674900242
016026,8036800002
016096,9674902137
016098,9674902117
016103,9602978863
016196,8068600802
016207,4904230057642
016222,8218400593
016247,8068600271
016250,8200080046
016254,8559216245
016275,8068695738
016305,16305
016307,8559216545
016369,9674900498
016371,16371
016372,9674900219
016373,9674900387
016374,16374
016375,9674900349
016377,16377
016379,9674900424
016380,16380
016381,16381
016396,8112800106
016466,8800402797
016517,8024400212
016518,8024400211
016562,8048000300
016567,16567
016580,8068601540
016582,16582
016620,8218400594
016634,736040006305
016659,8068601247
016673,8068601212
016676,8068601240
016679,8068601220
016685,8068601234
016796,16796
016809,8024400940
016829,16829
016832,8200000498
016841,8024400939
016850,8024400203
016882,16882
016906,8700001140
016910,16910
017081,17081
017085,8700000412
017086,8700000552
017088,8700000404
017092,8200077851
017093,8200079124
017176,17176
017186,17186
017192,17192
017334,810020890020
017510,5616000001
017545,17545
017673,17673
017756,
017766,8800402134
017768,8800402136
017826,17826
017827,17827
017830,8800404811
017900,
017913,9674900287
017914,17914
017916,9674900006
017917,9674947221
017919,9674900074
017920,9674901018
017921,9674900483
017929,9674900386
017943,
017946,8024400773
017948,8410411211
017954,9674921642
017956,9674902134
017957,9674902124
017958,9674902114
018006,8024400923
018046,9674902132
018095,9674900298
018120,9674975001
018201,8835213542
018203,8835213909
018290,8366487390
018348,4006340031
018351,4006340043
018352,4006340040
018358,4006340029
018361,18361
018379,5149732076
018381,18381
018412,18412
018416,8800402784
018422,18422
018530,18530
018531,18531
018566,9674900224
018603,5439600525
018604,5439600522
018605,8600326719
018606,18606
018613,8722915027
018627,8600326733
018628,8600326731
018650,5047700519
018656,9674920056
018660,5083100201
018661,18661
018672,8366487450
018856,18856
018858,9674903153
018859,9674903155
018860,9674900265
018991,18991
018997,81479401097
019009,5570900030
019017,19017
019026,8068603440
019044,19044
019045,19045
019046,19046
019054,19054
019063,8068600170
019064,8068600160
019066,8068600140
019067,8068600120
019068,8068600110
019112,8068600501
019226,8068601676
019228,8068601694
019231,19231
019239,8068601678
019240,8068601639
019243,19243
019316,19316
019320,857361007052
019322,19322
019323,857361007366
019324,5736100717
019461,8835214034
019475,8524618500
019476,8892813943
019477,8524613942
019478,8524613941
019480,19480
019481,8524650122
019486,8524650010
019487,19487
019492,8524650238
019494,8524650153
019497,8524650179
019498,8524650156
019499,19499
019500,8524650216
019565,8524650173
019876,3938300229
019878,19878
019879,19879
019880,3938300718
019976,19976
019978,19978
020146,
020150,
020246,8625924547
020248,8625924562
020307,5003036502
020318,8835213336
020366,8112800508
020374,8112800109
020375,8112800173
020376,8112800115
020384,8112800341
020920,8068617602
021016,
021022,21022
021030,
021059,721059003346
021181,6567400016
021184,856581006142
021186,856581006043
021206,8835211794
021212,21212
021215,8835213394
021228,8066000115
021231,8200078358
021232,8066001072
021233,8200078674
021236,8810000002
021242,8066000116
021244,8066000114
021248,80660001173
021259,8835214021
021260,8835213950
021261,8835213915
021279,
021383,21383
021443,8800403071
021460,21460
021480,8800402104
021482,8800402082
021492,21492
021538,8800401858
021540,21540
021589,8800400551
021592,
021596,8954014621
021598,9854013454
021600,8800400552
021602,8800400549
021607,21607
021906,
021947,21947
021986,21986
022026,22026
022037,22037
022042,
022044,22044
022046,
022071,810080550032
